z1;z2;z3;z4;z5;z6
1,158574;1,194067;1,745872;1,566271;1,825556;1,942503
1,238868;1,913419;1,182653;1,044649;1,304209;1,924039
1,564043;1,561357;1,070589;1,778954;1,226447;1,824122
1,737266;1,798975;1,952239;1,752281;1,247871;1,54796
1,364544;1,03122;1,380596;1,688101;1,987396;1,058504
1,535295;1,742973;1,580401;1,063356;1,999237;1,425459
1,780725;1,306711;1,972594;1,68627;1,582629;1,767235
1,135044;1,139164;1,686178;1,220069;1,034577;1,019745
1,246498;1,114597;1,079653;1,333415;1,054445;1,156743
1,416456;1,349223;1,68038;1,003235;1,471908;1,095523
1,611866;1,972991;1,443953;1,014008;1,91699;1,182531
1,520585;1,427992;1,464156;1,011505;1,108341;1,981536
1,229896;1,304392;1,852107;1,705496;1,725639;1,21482
1,726829;1,866756;1,074984;1,09888;1,983154;1,256935
1,77279;1,363353;1,227454;1,076754;1,656758;1,675253
1,418256;1,072481;1,123447;1,438917;1,059481;1,080325
1,119724;1,947356;1,372631;1,635578;1,94058;1,112827
1,728446;1,802332;1,365001;1,184759;1,119633;1,880032
1,161107;1,359294;1,956206;1,143406;1,49144;1,688437
1,963561;1,271859;1,250008;1,19367;1,466262;1,624409
