0.653;6.036;8.737;7.239;10.516;5.855;9.587;6.918;4.87;5.58
13.884;5.251;2.278;8.399;8.845;5.777;7.891;4.25;10.159;8.325
11.088;12.462;8.447;7.962;10.926;10.128;15.015;8.908;6.639;10.687
7.409;9.35;2.267;6.712;8.755;10.662;8.106;9.837;7.936;9.843
8.827;9.77;8.656;5.626;7.728;8.307;9.898;5.805;8.149;9.509
5.582;5.517;9.46;7.737;12.783;5.644;10.504;6.018;10.462;5.668
9.747;6.74;9.385;9.671;5.3;10.632;8.307;7.735;12.296;8.511
8.023;10.759;7.924;13.497;9.802;6.06;10.68;8.206;3.403;8.657
8.396;10.718;9.215;10.708;5.133;6.989;6.788;5.502;10.631;8.835
6.535;0.84;10.36;6.189;8.534;5.183;9.904;8.473;7.802;9.484
